Fe2      3000.065
Fe1      3000.462
Co1      3000.576
Fe2      3000.750
Ti1      3000.750
Fe1      3000.946
Ca1      3000.946
Cr1      3000.946
V2       3001.230
Fe2      3001.432
Fe1      3001.658
V1       3001.932
Fe2      3002.341
Ni1      3002.486
Fe2      3002.660
Fe1      3003.045
V2       3003.463
Ni1      3003.649
Cr2      3003.895
Fe1      3004.120
Fe2      3004.271
Fe1P     3004.480
Fe1      3004.630
Cr1      3005.052
Fe1      3005.308
Zr1      3005.494
Co1      3005.755
Fe1      3005.968
V1       3006.179
Fe1      3006.318
Si1      3006.740
Ca1      3006.868
V1       3006.868
Fe1      3007.152
Fe1      3007.291
V2       3007.291
Ti1      3007.497
Mn1      3007.650
Fe1P     3007.770
Fe1      3008.152
Mn1      3008.293
Ti2      3008.293
V2       3008.648
Ce2      3008.801
Fe1      3009.102
Sn1      3009.102
Ca1      3009.214
Fe1      3009.582
Fe1      3010.029
Fe2      3010.180
Fe1      3010.180
Fe1      3010.628
Cu1      3010.847
Mn1      3011.167
Mn1      3011.369
Cr2      3011.369
Fe1      3011.478
Zr1      3011.736
Fe1      3011.880
Ni1      3012.012
V2       3012.012
Cr2      3012.346
Fe1      3012.450
Fe2P     3012.600
Fe1      3012.937
Cr1      3013.048
V2       3013.101
Zr2      3013.331
Co1      3013.595
Cr1      3013.730
Fe2      3013.831
Fe1      3013.970
Fe1      3014.105
Fe1      3014.164
V1       3014.320
Zr1      3014.457
Mn1      3014.648
Cr1      3014.781
V2       3014.781
Cr1      3014.919
Cr1      3015.202
Sc1      3015.366
Cr2      3015.508
Co1      3015.688
Fe1      3015.929
V2       3015.989
Fe1      3016.196
V2       3016.196
Mn1      3016.449
V2       3016.784
Ti2      3017.187
Co1      3017.255
Fe1      3017.631
Cr1      3017.631
Co1      3017.631
Ni1      3017.953
Os1      3018.031
Fe1      3018.141
Fe1P     3018.254
Cr1      3018.496
Ca1      3018.599
Cr1      3018.821
Fe1      3018.992
Ni1      3019.154
Fe1      3019.313
Sc1      3019.313
Zr2      3019.911
Mn2      3019.911
Si1      3020.015
Fe1      3020.490
Fe1      3020.656
Cr1      3020.656
Fe1      3021.077
Cr1      3021.572
Mn2      3021.719
V2       3022.120
Co1      3022.359
V2       3022.602
Mn1      3022.747
Mo2      3023.300
Fe2      3023.851
V2       3023.851
Fe1      3024.060
Cr1      3024.353
Cr1      3024.677
V2       3024.981
Fe1      3025.286
Fe1      3025.644
Fe1      3025.866
Co1      3026.377
Fe1      3026.495
Cr2      3026.645
Cr2      3026.836
Fe1      3026.942
Fe2P     3027.350
V2       3027.607
Gd2      3027.607
Pl1      3027.890
V2       3028.020
Zr2      3028.020
Cr2      3028.127
Nb2      3028.445
Rh2      3028.604
Mn2      3029.069
Cr1      3029.155
Fe1      3029.227
Ni1      3029.288
Ni1      3029.288
Mn2      3029.430
Zr1      3029.548
V2       3029.548
Ti2      3029.734
Fe1      3030.147
Cr1      3030.254
OH       3030.484
Fe1      3030.607
Fe1      3030.760
Sc1      3030.760
Zr2      3030.941
Mn2      3031.052
Fe1      3031.211
Cr1      3031.346
Cr1      3031.474
Fe1      3031.668
Ni1      3031.867
Zr2      3032.036
Ni2      3032.469
Gd2      3032.855
Cr2      3032.929
Fe1      3033.105
V2       3033.434
Fe2      3033.434
V2       3033.817
Gd2      3034.061
Sn1      3034.120
Cr1      3034.196
Co1      3034.450
Fe1      3034.500
Cr2      3034.550
Mn2      3034.812
Cr2      3034.988
Fe1      3035.118
Fe1P     3035.232
Mn2      3035.360
Fe1      3035.747
Cu1      3036.108
Zr2      3036.397
Zr2      3036.509
Y2       3036.620
Ti2      3036.754
Fe2      3036.940
Cr1      3037.044
Fe1      3037.396
Fe1      3037.788
Ni1      3037.946
Mn2      3038.091
Fe1      3038.312
V2       3038.513
Cr2      3038.513
Ti2      3038.747
Fe2      3038.747
Ge1      3039.066
Mn2      3039.202
Fe1      3039.325
Co1      3039.597
Mn2      3039.597
Cr1      3039.761
Cr1      3039.761
Cr2      3040.218
OH       3040.350
Fe1      3040.430
Mn1      3040.606
Cr1      3040.843
Cr2      3040.938
Mn1      3041.220
V2       3041.412
Fe1      3041.625
Fe1      3041.754
Cr2      3041.754
Fe1      3042.026
V2       3042.263
Co1      3042.486
Fe1      3042.664
Mn1      3042.664
Cr2      3042.854
V1       3043.129
Mn1      3043.129
Mn2      3043.129
Mn1      3043.355
V1       3043.543
V2       3043.543
Mn1      3043.759
Ti2      3043.853
Cr2      3043.853
Co1      3044.009
Zr2      3044.124
OH       3044.333
Mn1      3044.568
Nb2      3044.720
Fe2      3044.837
V1       3044.940
Ni1      3045.010
Fe1      3045.070
Fe2      3045.340
Cr2      3045.480
Mn1      3045.582
Fe1      3045.582
Sc2      3045.723
Mn1      3045.778
Fe1      3046.046
Mn2      3046.266
Ti2      3046.672
Fe1      3046.805
Fe1      3046.935
Fe1      3047.048
Mn1      3047.048
Fe1      3047.200
Cr1      3047.430
Fe1      3047.614
Cr2      3047.790
Co1      3048.094
V2       3048.219
Fe1      3048.454
OH       3048.569
V2       3048.651
Ti2      3048.762
Co1      3048.887
V2       3048.887
Mn1      3048.887
Fe2      3049.015
Mn2      3049.015
Fe2P     3049.156
Fe1      3049.349
Fe1      3049.546
Cr1      3049.900
Al1      3050.074
Cr2      3050.132
V1       3050.396
Co1      3050.504
Mn2      3050.670
Ni1      3050.815
Mn2      3051.416
Cr2      3051.610
Fe1      3051.794
Ce2      3051.987
V1       3052.213
Cr1      3052.213
Fe1P     3052.788
Sc2      3052.926
Fe1      3053.068
Y2       3053.246
V2       3053.420
Fe1      3053.420
Fe1      3053.420
Gd2      3053.550
V1       3053.669
Cr2      3053.669
Cr1      3053.880
V2       3053.880
Ni1      3054.315
Mn1      3054.315
Al1      3054.698
Co1      3054.698
Zr2      3054.830
Fe1      3054.940
Eu2      3054.940
Fe1      3055.296
Fe2      3055.296
Cr2      3055.457
Ce3      3055.594
Fe1      3055.720
V2       3055.934
Fe1      3056.233
V1       3056.340
Ti2      3056.768
Al1      3057.134
Ti2      3057.436
Fe1      3057.436
Ni1      3057.643
Fe1P     3057.788
Cr2      3057.873
Ti2      3058.075
Cr2      3058.356
Fe1      3058.488
Os1      3058.706
Fe1      3059.094
Al1      3059.094
Cr2      3059.383
Cr2      3059.516
Cr2      3059.516
Ti2      3059.738
Ti2      3059.738
Fe2      3060.039
Co1      3060.039
Zr2      3060.120
V1       3060.455
Fe1      3060.548
Fe1      3060.989
Zr2      3061.350
Cr2      3061.570
Cr1      3061.660
Co1      3061.825
Co1      3061.972
Mn1      3062.120
Co1      3062.180
Fe2      3062.290
OH       3062.520
V2       3062.700
Fe1      3062.873
Ce2      3063.045
Fe1      3063.175
V2       3063.241
Cu1      3063.405
Ti2      3063.505
OH       3063.555
OH       3063.729
Cr2      3063.805
Ni2      3063.936
Fe1      3063.936
OH       3064.216
OH       3064.216
Co1      3064.377
Ni1      3064.622
Pt1      3064.713
OH       3064.955
OH       3065.094
OH       3065.094
Cr1      3065.094
Sc2      3065.094
Fe2      3065.316
V2       3065.615
OH       3065.994
Mn1      3065.994
OH       3066.144
Al1      3066.144
Ti2      3066.227
Ti2      3066.364
V1       3066.364
Fe1      3066.501
Ti2      3066.501
Fe1P     3066.694
V2       3066.816
Fe1      3066.994
Fe1      3067.123
V2       3067.123
Cr2      3067.123
Cr2      3067.123
Fe1      3067.262
OH       3067.386
OH       3067.657
OH       3067.781
OH       3067.939
OH       3067.939
Fe1      3067.939
Fe1      3068.176
OH       3068.281
OH       3068.281
OH       3068.598
OH       3068.725
Fe2      3068.725
OH       3068.796
Fe1      3068.944
OH       3069.181
Fe1      3069.455
OH       3069.681
V1       3069.681
OH       3069.915
Mn1      3070.265
OH       3070.380
OH       3070.492
Fe2      3070.695
Cr2      3071.005
OH       3071.145
Fe2      3071.145
Ti2      3071.253
Cr2      3071.555
Fe2      3071.677
Co1      3071.965
Ti2      3072.115
OH       3072.182
OH       3072.328
Co1      3072.328
