 V II      2978.226  23 1    87           A266     20.
 FeII      2978.850  26 1    69           A 76      2.
 ArII      2979.05   18 1    19           A340      6.         27.5
 FeII      2979.096  26 1    100,180      A 76      3.
 V II      2979.102  23 1    44           A266      5.
 ZrII      2979.18   40 1    14           A196     12.
 TiII      2979.199  22 1    123          C245     10.         13.6
 FeII      2979.349  26 1    2            A 76      8.
 RhII      2979.382  45 1    4            A150      2.
 ScII      2979.683  21 1    44           A245      5.         12.8
 RuII      2979.726  44 1    5            A272     40.
 CrII      2979.741  24 1    28           B245     80.
 RuII      2979.957  44 1    4            A272     60.
 GdII      2980.154  64 1    12           A225   6000.
 TiI       2980.296  22 0    94           E245         tr
 FeI       2980.532  26 0    317          G 59      5.
 FeI       2980.60   26 0 P  201                       sol
 Y II      2980.69   39 1    54           C245     20. nl
 ScI       2980.752  21 0    11           A245      6. :
 CrI       2980.791  24 0    28           C245     25.
 HfI       2980.82   72 0    2            A287    100.
 FeII      2980.963  26 1    61           A 76      4.
 ZrII      2981.02   40 1    24           A196     12.
 V II      2981.200  23 1    87           A266     70.
 FeI       2981.446  26 0    11           A164     20. r
 TiI       2981.448  22 0    29           E245      2. :
 NiI       2981.651  28 0    26           B245     20. R        7.61
 FeI       2981.852  26 0    104          G 59      6.
 V II      2981.924  23 1    114          A266     15.
 FeII      2982.059  26 1    139          A 76      8.
 NbII      2982.100  41 1    2            A283    100.
 FeI       2982.234  26 0    460          U247      1. :
 FeII      2982.239  26 1    70           A 76      3.
 V II      2982.75   23 1    28           A266     40.
 ClII      2982.78   17 1    53           A195     18.         23.70
 V II      2983.009  23 1    22,28        A266     10.
 GdII      2983.060  64 1    77           A225     60.
 TiI       2983.306  22 0    29           E245     20.
 V II      2983.558  23 1    28           A266     80. n
 FeI       2983.574  26 0    9            G 59    125. R
 O III     2983.66    8 2    7            A119      1.         54.71
 O III     2983.78    8 2    6            A119      6.
 NiI       2984.131  28 0    12           B245     12. R
 NaII      2984.183  11 1    2            A130      7.         47.10
 Y I       2984.25   39 0    10           A254     50.
 TiII      2984.35   22 1 P  28
 CrII      2984.69   24 1    27           A184     10.
 FeI       2984.785  26 0    29           V 55     10.
 CrI       2984.82   24 0    15           B184      8.
 FeII      2984.831  26 1    8            A 76     15.
 FeII      2984.89   26 1 P  60
 CrII      2985.02   24 1    56           A184      7.
 V II      2985.184  23 1    218          A266     60. n
 FeII      2985.29   26 1 P  69
 CrII      2985.325  24 1    28           B245     75.
 ZrI       2985.36   40 0    22           A197    200.          6.92
 LaII      2985.43   57 1    145          A258      5.         11.38
 TiI       2985.477  22 0    29           E245      3.
 GdII      2985.521  64 1    77           A225    100.
 FeII      2985.545  26 1    8            A 76     13.
 CrI       2985.849  24 0    28           C245      8. r
 S III     2985.98   16 2    14           B159      6. :       34.9
 CrI       2985.995  24 0    28           C245     35. r
 CrI       2986.137  24 0    28           C245      3.
 FeI       2986.456  26 0    11           G 59      3.
 CrI       2986.473  24 0    28           C245     30. r
 FeII      2986.617  26 1    62           A 76      4.
 FeI       2986.655  26 0    200          V 55      1. :
 FeII      2986.91   26 1 P  86
 GdII      2987.074  64 1    57           A225     80.
 CoI       2987.166  27 0    11           A 56     15. r        7.84
 FeII      2987.27   26 1 P  86
 FeI       2987.292  26 0    30           A164     10.
 TiII      2987.40   22 1    28           F172      1.
 FeII      2987.542  26 1    223          A 76      1. n
 SiI       2987.65   14 0    1            A186     25.
 CaII      2987.72   20 1    11           E390      1. :       11.82
 ZrII      2987.80   40 1    86           A196      5.
 V II      2988.027  23 1    27           A266     80.
 NiII      2988.05   28 1    6            A252      5.         18.4
 CrII      2988.056  24 1    28           C142     12.
 RhII      2988.367  45 1    3            A150     50.
 FeI       2988.468  26 0    56           G 59      2.
 CaIII     2988.61   20 2    2            A 11      7.         51.00
 CrI       2988.649  24 0    14           C245     25. r
 ZrII      2988.74   40 1    148          A196      4. w
 FeI       2988.942  26 0    316          S 77      0. :
 ScI       2988.952  21 0    11           A245     10. :
 ScII      2988.952  21 1    34           A245     10.
 FeII      2989.01   26 1 P  86
 FeII      2989.079  26 1    159          A 76         trn
 CrII      2989.194  24 1    28           B245     70.
 CaIII     2989.30   20 2    4            A 11      6.
 V II      2989.306  23 1    87           A266     15.
 FeII      2989.367  26 1    86           A 76         tr
 CaII      2989.42   20 1    11           E390      1. :
 CoI       2989.590  27 0    13           A 56     15. r
 V II      2989.594  23 1    28           A266     40.
 FeII      2989.731  26 1    86           A 76      0.
 V II      2989.74   23 1    87           A266     15.
 ZrII      2990.10   40 1    27           A196      3.
 TiII      2990.16   22 1    123          C245     10.
 FeI       2990.33   26 0 P  334                       sol
 FeI       2990.34   26 0 P  460                       sol
 FeI       2990.392  26 0    316          C278      6.
 NiVII     2990.4    28 6 F  1
 CeII      2990.873  58 1    72           A144     80.
 V I       2990.948  23 0    58           C245      8.
 NiI       2991.095  28 0    14,80        B245      4.
 FeII      2991.244  26 1    60           A 76      0.
 EuII      2991.33   63 1    3            A223    300.         11.21
 ZrII      2991.40   40 1    6            A196      5.
 GdII      2991.520  64 1    25           A225    150.
 RuII      2991.626  44 1    5            A272     40.
 FeI       2991.632  26 0                 G 59      5. n
 FeII      2991.817  26 1    160          A 76      2. n
 CrI       2991.886  24 0    28           C245     15.
 O III     2992.11    8 2    10           A119      2.
 K III     2992.24   19 2    2            A 47a     6.         46.
 V II      2992.378  23 1    114          A266      2.
 CrII      2992.40   24 1    28           A184     10.
 NiI       2992.595  28 0    25           B245     20. R
 C II      2992.63    6 1    8            A122      5. d       24.28
 GdII      2993.038  64 1    42           A225    500.
 FeII      2993.366  26 1    139          A 76      1. n
 ZrII      2994.05   40 1                 A196      4. w
 CrI       2994.069  24 0    14           C245     18.
 AlII      2994.259  13 1 P  14                                18.75
 FeI       2994.427  26 0    9            G 59    100. R*
 NiI       2994.460  28 0    27           B245     25. R
 FeI       2994.50   26 0    11           V 55    100. R*
 V II      2994.540  23 1    218          A266     60.
 NbII      2994.725  41 1                 A283    300. w
 CrII      2994.737  24 1    28           B245     20.
 CaI       2994.958  20 0    17           A403      5.          6.09
 CrI       2995.10   24 0    15           B184     25.
 Y I       2995.26   39 0    11           A254     10.
 AlII      2995.530  13 1 P  14
 AlII      2995.546  13 1 P  14
