ScII      3630.740  (   2)[A50] {A4-F8V;A0-A9III;A0Ib-F8Ia}
CaI       3630.748  (   9)[A30] {A0-K0Iab}
CaI       3630.974  (   9)[A15] {A0-K0Iab}
FeI       3631.103  ( 322)[J7] {K0-K3II}
FeI       3631.464  (  23)[B125R] {F0V-K5III;G0II-K0Iab}
CrII      3631.49   (  12)[A50] {B5-A3V;B2-F0II}
CrII      3631.72   (  12)[A40] {B5-A3V;B2-F0II}
FeII      3632.292  ( 112)[B3] {A4-A7V;A0-G5III;A0Ib-F8Ia}
Y II      3633.13   (   2)[A200] {F0-G0Iab}
HeI       3634.235  (  28)[D(2)] {O9V-B9Ia}
FeI       3634.326  ( 389)[G6n] {A0-G0IV;F5-K0II;G0-K0Ib}
HeI       3634.373  (  28)[D(1)] {O9V-B9Ia}
NiI       3634.941  (  33)[B12] {F0-K5V;G0-K1IV;G5-K5III;K0-K3II}
FeI       3635.19   ( 490)[W2] {A0-G0IV;F5-K0II}
TiI       3635.202  (  20)[E8] {F0-M2Iab}
TiII      3641.330  (  52)[A100] {A0-G5III;A0-F8Ib;A0-F8Ia}
ScII      3642.785  (   2)[A40] {A5V-G5II;A0Ib-G0Ia}
FeI       3645.090  ( 323,495)[V2] {G5IV-K3II}
ScII      3645.311  (   2)[A30] {A5V-G5II;A0-G0Ib;A0-G0Ia}
CrII      3647.40   (   1)[A8] {A0-A5V}
FeI       3647.844  (  23)[B100R] {F0V-K5III;G0II-K3Iab)
FeI       3649.304  (   5)[J5] {G0-K0V;G0-K0Iab}
ScII      3651.798  (   2)[A25] {A5-G5III;A5-G5Iab}
HeI       3651.971  (  27)[D(1)] {O9-B9IV;O9-B9Ia}
HeI       3652.119  (  27)[D(1)] {O9-B9IV;O9-B9Iab}
CoI       3652.541  (   4)[A15] {F5-M2Iab}
TiI       3653.497  (  19)[A100r] {G0-M2Iab}
FeI       3656.227  (    )[V3n] {F5-K0II;G0-K0Ib}
NiI       3661.951  (  16)[B8] {G0-K3Iab}
TiII      3662.237  (  75)[C40] {F0-G5III}
NeII      3664.09   (   1)[A9] {O9V-B9Ia}
NiI       3664.095  (   4)[B20] {F0-K5V;A0-K1IV;G0III-K0Iab}
NiI       3669.241  (   2)[B12] {G0IV-K3II;G0-K2Iab}
V II      3669.410  ( 116)[A300] {F0-G5III}
H         3669.466  (   5)[A H25] {F0-G5III;A0-G0Ia}
FeI       3669.523  ( 291)[B10] {A0-G0IV;F5-K0II;G0-K0Ib}
NiI       3670.427  (   4)[B20] {F0-K5V;G0-K3Iab}
H         3671.478  (   5)[A H24]  {A0-G0Ia}
H         3673.761  (   5)[A H23] {A0-G0Ia}
FeI       3674.766  ( 369)[J2] {K0-K3II}
H         3676.365  (   4)[A H22] {F0-F8V;B3-F0II;A0-G0Ia}
FeI       3677.309  ( 773)[J2] {K0-K3II}
FeI       3677.630  ( 291)[B12] {A0-G0IV;K0-K3II}
CrII      3677.69   (  12)[A40] {A0V-G0Ia}
CrII      3677.86   (  12)[A50] {A0V-G5II;A0-G0Ib;A0-G0Ia}
CrII      3677.93   (  12)[A30] {A0V-G5II;A0-G0Ib;A0-G0Ia}
H         3679.355  (   4)[A H21] {F0-F8V;A0IV-G0Ia)
FeI       3679.915  (   5)[B40r] {F0-K5V;G0IV-K0Iab}
H         3682.810  (   4)[A H20] {A0IV-G0Ia}
FeI       3683.054  (   5)[G10] {G0-M2III;G0-M2Iab}
TiII      3685.192  (  14)[A250] {A0V-G0II;A0-F8Ib;A0-G0Ia}
H         3686.833  (   4)[A H19] {A0V-G0Ia}
FeI       3687.458  (  21)[B40r] {F0-K5V;G0IV-K0Iab}
NiI       3688.415  (   5)[B15] {G0-K3Iab}
H         3691.557  (   4)[A H18] {B2V-G0Ia}
CoI       3693.106  (  97)[A8] {G5-K5III}
CoI       3693.476  (  95)[A8] {G5-K5III}
NiI       3693.932  (  15)[B8] {G5-M2III}
FeI       3694.005  ( 394)[G20] {F5-G5V;A0-K1IV;G0III-K0Iab}
NeII      3694.22   (   1)[A10] {O9V-B9Ia}
H         3697.154  (   3)[A H17] {B2V-G0Ia}
CrII      3698.00   ( 118)[A35] {A4-A7V}
H         3703.855  (   3)[A H16] {O9V-G0Ia}
CoI       3704.060  (  35)[A25] {G5-K5III;K0-K3II}
HeI       3705.003  (  25)[B(3)] {O9V-B3Ia}
HeI       3705.140  (  25)[C(1)] {O9V-B3Ia}
FeI       3705.567  (   5)[B100r] {F5V-K5III;G0II-M2Iab}
CaII      3706.026  (   3)[B10] {A5V-G5II;A0-G8Ib;A0-G8Ia}
FeI       3707.828  (   5)[V20] {G0-M2III;G0-M2Iab}
FeI       3709.246  (  21)[G75r] {F0-K5V;A0-K1IV;G0III-K2Iab}
NeII      3709.64   (   1)[A7] {O9-B5V;O9III-B3II;O9-B3Ia}
H         3711.973  (   3)[A H15] {O9V-G0Ia}
O II      3712.75   (   3)[B7] {O9V-B5V;O9-B3II}
CrII      3712.97   (  12)[A35] {F0-G5III;A0-G0Ib;A0-G0Ia}
CrII      3713.04   (  12)[A15] {F0-G5III;A0-F8Ib;A0-G0Ia}
NeII      3713.09   (   5)[A10] {O9-B3III;O9-B3II;O9-B3Ia}
O III     3715.08   (  14)[A6] {O9V-B3II;O9-B3Ia}
CrII      3715.19   (  20)[A15] {A0-G0Ia}
V II      3715.476  (  15)[A1200l] {F0-F8V;A0-G0Ia}
FeI       3719.935  (   5)[B250r] {F0-K5V;A0-K1IV;G0III-M2Iab}
H         3721.940  (   3)[A H14] {O9V-G0Ia}
NiI       3722.484  (  18)[B15r] {G5-K5III}
FeI       3722.564  (   5)[B50r] {F0V-K3IV;G0III-K2Iab}
NiI       3724.827  ( 182)[B4] {K0-K3II}
NeII      3727.08   (   5)[A9] {O9-B3II;O9-B3Ia}
V II      3727.351  (  21)[A1000l] {A4-F8V}
CrII      3727.37   ( 117)[A40] {A0-A9III}
FeI       3727.621  (  21)[B50r] {G0V-K3Iab}
V II      3728.335  ( 116)[A200] {A4-F8V;A0-G0Ia}
O II      3729.34   (  62) {B5-B9Ib;B5-B9Iab}
TiI       3729.806  (  17)[A50r] {G0-K2Iab}
HeI       3732.861  (  24)[C(1)] {O9-B5V}
HeI       3732.992  (  24)[D(1)] {O9-B5V}
FeI       3733.319  (   5)[B40r] {F5-M2V;F5-M2III;F5-M2Iab}
H         3734.370  (   3)[A H13] {O9V-G0Ia}
FeI       3734.867  (  21)[B300r] {F0-M2V;G0-K1IV;G0III-M2Iab}
NeII      3734.94   (   1)[A7] {O9-B3Ia}
CaII      3736.901  (   3)[B12] {F0-F8V;B9-F2II;A0Ib-G0Ia}
